Business Name,Phone Number,Website,Rating,Review Count,Email,Address,Map Link,Summary
"Lush Garden & Cafe","080097 75533","",4.3,1523,"","Musical fountain, near NaGar Nigam, Kanpur Cantonment, Kanpur, Uttar Pradesh 208002, India","https://maps.google.com/?cid=6705826529879931487","Relaxed garden restaurant featuring fountain, Indian, continental, and fast food dishes."
"Almost Café","073111 09101","",4.2,567,"","lower ground, 120/611A, opposite Golden Basket, adjoining I- Wave, Near Marium School, Lajpat Nagar, Narainpurwa, Kanpur, Uttar Pradesh 208005, India","https://maps.google.com/?cid=17423654807511533249","Cafe offering takeout, delivery, dine-in, good for children and groups."
"Sidewalk Cafe | Swaroop Nagar Kanpur","083030 01717","",4.5,1672,"","F8P9+F7F, Khalasi Line Rd, Khalasi Line, Swaroop Nagar, Kanpur, Uttar Pradesh 208002, India","https://maps.google.com/?cid=5656751669153069792","Casual cafe known for coffee, baked goods, Indian classics and pizzas."
"Offline Cafe","076170 71717","",4,1947,"","10/503, Khalasi Line, Tilak Nagar, Kanpur, Uttar Pradesh 208002, India","https://maps.google.com/?cid=16270734665422287185","Casual cafe serving sandwiches, burgers, and fries all day."
"Godown Cafe","070003 82944","",4.2,621,"","181-182 W Block, 181-182, Keshav Nagar, W Block, Juhi Kalan, Saket Nagar, Kanpur, Uttar Pradesh 208014, India","https://maps.google.com/?cid=6363929729429748550","Cozy, informal basement cafe known for pizza, pasta, coffee, and shakes."
"The Cockpit Cafe","093898 11697","",4.3,305,"","infront hdfc bank, 80/79C, bansmandi, Cooperganj, Kanpur, Uttar Pradesh 208001, India","https://maps.google.com/?cid=15247529068875345755","Cafe for coffee, waffles, pizza, burgers, other eats, desserts and snacks."
"Farzi Cafe Kanpur","092198 55040","",4.3,336,"","Emerald Garden, Plot C-3, above Floor 3&4, above reliance digital, Outside, Swaroop Nagar, Kanpur, Uttar Pradesh 208002, India","https://maps.google.com/?cid=13527542546948632004","Trendy cafe featuring fusion Indian cooking, international dishes, and cocktails."
"Nothing Before Coffee Cafe - Kanpur","095194 01857","",4.7,259,"","Shop No 1 & 2, No 8/226, SGM Plaza, Sabzi Mandi Rd, Khalasi Line, Swaroop Nagar, Kanpur, Uttar Pradesh 208002, India","https://maps.google.com/?cid=7555643459701714020","Coffee shop primarily serving coffee and related beverages."
"Mocha","073790 09393","",4.3,4928,"","15/198, Vikramajit Singh Rd, Civil Lines, Kanpur, Uttar Pradesh 208001, India","https://maps.google.com/?cid=13919627421666086374","Casual cafe and eatery known for burgers, pizzas, pastas, shakes, teas."
"Busy Beans Cafe","099903 35671","",4.3,495,"","Shop LG-16, Radiance tower, Khalasi Line, Swaroop Nagar, Kanpur, Uttar Pradesh 208002, India","https://maps.google.com/?cid=10167743967975198898","Mini cafe offering pasta, sandwiches, milkshakes, pizzas, and coffee."
"CAFE-99","086011 41600","",4.7,22,"","18, DPS Market, Vishnu Puri, Kanpur, Uttar Pradesh 208002, India","https://maps.google.com/?cid=3815288880790428427","Restaurant offering desserts, coffee, lunch, dinner, and vegetarian food."
"Boho Cafe & Lounge","","",4.3,148,"","3rd Floor, 7/150 A-2, opp. Concord Apartment, Khalasi Line, Swaroop Nagar, Kanpur, Uttar Pradesh 208002, India","https://maps.google.com/?cid=18032898733014043548","Cafe & Lounge offering cocktails, desserts, coffee, lunch, and dinner."
"Cafe Chaidani","079857 86828","",4.9,115,"","H, NO.01/1C, F/1, near HYPER ZONE, Nawabganj, Kanpur, Uttar Pradesh 208002, India","https://maps.google.com/?cid=16558545205497704302","Fast food restaurant with live music, serving desserts, coffee, and brunch."
"Atmosphere Grill Cafe Sheesha","074991 55132","",4,962,"","8th Floor, JS Tower, 16/106, Mall Rd, near Z Square Mall, Civil Lines, Kanpur, Uttar Pradesh 208001, India","https://maps.google.com/?cid=4075539540223494881","Restaurant with grill, cafe, sheesha, cocktails, and diverse menu."
"Kanpur Cafe","089338 93444","",5,138,"","117/M/272, Double Pulia, Kakadeo, Kanpur, Uttar Pradesh 208019, India","https://maps.google.com/?cid=8710523092668102599","Restaurant offering delivery service."
"Bubble House Cafe","077050 52050","",4,241,"","Bedi Niwas, W1, Juhi Kalan, Saket Nagar, Kanpur, Uttar Pradesh 208014, India","https://maps.google.com/?cid=3375847563181181179","Cool cafe whipping up burgers, pastas, fries, and milkshakes."
"The Amour Cafe","092609 95919","",4.8,363,"","127, W-1, Juhi Kalan, Saket Nagar, Kanpur, Uttar Pradesh 208014, India","https://maps.google.com/?cid=14329553859629191503","Coffee shop offering takeout, delivery, desserts, coffee, lunch, and dinner."
"RoDi's 24/7 (Chai, Coffee & More..)","","",4.2,253,"","126/6, H Block, Govind Nagar, Kanpur, Uttar Pradesh 208006, India","https://maps.google.com/?cid=10744936260385678525","Cafe serving chai, coffee, desserts, and vegetarian food with live music."
"Kapai Coffee house and Bistro","098392 70027","",4.4,450,"","117/H-1/62A, near Candy Floss school, Model Town, Pandu Nagar, Kanpur, Uttar Pradesh 208005, India","https://maps.google.com/?cid=5617206705127565252","Coffee shop and bistro offering coffee, desserts, and vegetarian dinner."
